round,phase,power,tom_depth,proposals_sent_to,accepted_deals_with,sent_count,accepted_count,rejected_count,proposals_received_from,received_count
28,FALL,France,2,Russia;Turkey,Russia;Turkey,2,2,0,Austria;England;Germany;Russia;Turkey,5
28,FALL,Germany,2,Austria;England;France;Italy;Russia;Turkey,Russia;Turkey,6,2,4,Russia;Turkey,2
28,FALL,Italy,2,,,0,0,0,Austria;England;Germany;Russia;Turkey,5
28,FALL,Russia,2,Austria;England;France;Germany;Italy;Turkey,France;Germany;Turkey,6,3,3,France;Germany;Turkey,3
28,FALL,Turkey,3,Austria;France;Germany;Italy;Russia,France;Germany;Russia,5,3,2,France;Germany;Russia,3
29,SPRING,Austria,2,Italy;Russia,Russia,2,1,1,France;Russia;Turkey,3
29,SPRING,England,2,,,0,0,0,Germany;Russia;Turkey,3
29,SPRING,France,2,Austria,,1,0,1,Italy;Russia,2
29,SPRING,Germany,2,England;Italy,Italy,2,1,1,Italy;Russia;Turkey,3
29,SPRING,Italy,2,France;Germany;Russia,Germany;Russia,3,2,1,Austria;Germany;Russia;Turkey,4
29,SPRING,Russia,2,Austria;England;France;Germany;Italy;Turkey,Austria;Italy,6,2,4,Austria;Italy,2
29,SPRING,Turkey,3,Austria;England;Germany;Italy,,4,0,4,Russia,1
30,FALL,Austria,2,England;France;Germany;Italy;Russia;Turkey,Germany;Russia;Turkey,6,3,3,Germany;Russia;Turkey,3
30,FALL,England,2,France;Germany;Italy;Russia;Turkey,France;Russia,5,2,3,Austria;France;Russia,3
30,FALL,France,2,England;Russia,England;Russia,2,2,0,Austria;England;Germany;Russia,4
30,FALL,Germany,2,Austria;France;Russia;Turkey,Austria;Russia,4,2,2,Austria;England;Russia,3
30,FALL,Italy,2,,,0,0,0,Austria;England;Russia,3
30,FALL,Russia,2,Austria;England;France;Germany;Italy;Turkey,Austria;England;France;Germany,6,4,2,Austria;England;France;Germany,4
30,FALL,Turkey,3,Austria,Austria,1,1,0,Austria;England;Germany;Russia,4
